id;Created Time;Nature operation;Type Co-emprunteur;Reste �� vivre mensuel;Taux d'apport;Revenus du foyer;Taux d'endettement;Immobilier;Apport global;Stage;d_eligible;instruit;Type de contrat;Profession;Domaine;age;civility;nb_enfants_charge;situation_familiale;regionName
2894;24/06/2019 12:46;--Achat d'une maison;Avec votre conjoint;356.0;36.84;1299.87;72.61;190000.0;70000.0;pre-qualified;0;0;;Profession liberale;Sante;40.0;M;6.0;Marie;Nord-Pas-de-Calais-Picardie
3325;23/10/2018 11:47;--Achat d'un appartement;Seul(e);2017.0;12.5;3500.0;42.37;160000.0;20000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
6564;04/03/2018 21:44;--Achat d'un appartement;Seul(e);771.0;20.0;2000.0;61.46;250000.0;50000.0;pre-qualified;0;0;;;;;Mme;;;Ile-de-France
6752;21/02/2019 10:08;--Achat d'une maison;Seul(e);1022.0;2.67;1582.65;35.42;75000.0;2000.0;pre-qualified;0;0;;;;35.0;M;0.0;Marie;Centre-Val de Loire
7376;29/01/2019 09:59;--Achat d'un appartement;Seul(e);559.0;40.0;1500.0;62.79;100000.0;40000.0;pre-qualified;0;0;;;;;M;;;Bourgogne-Franche-Comte
1092;04/02/2019 16:31;--Achat d'un appartement;Avec votre conjoint;2144.0;37.41;2874.92;25.42;147000.0;55000.0;eligible;1;0;;En recherche d�۪emploi;;44.0;M;1.0;Marie;Ile-de-France
1847;03/06/2019 05:08;--Achat d'un appartement;Avec votre conjoint;1378.0;20.0;2123.78;35.11;100000.0;20000.0;pre-qualified;0;0;CDI;Employe;;43.0;M;3.0;Marie;Ile-de-France
4547;26/02/2018 10:06;--Achat d'un appartement;Seul(e);1662.0;11.76;2795.86;44.6;170000.0;20000.0;pre-qualified;0;0;CDI;Cadre superieur;Banque / Finance / Assurance;36.0;M;0.0;Celibataire;Ile-de-France
2050;13/08/2019 15:43;--Achat d'une maison;Seul(e);-1322.0;16.67;560.03;336.08;300000.0;50000.0;cancelled;0;0;CDD;Medecin;Sante;33.0;Mme;0.0;Celibataire;Ile-de-France
6484;06/06/2018 19:47;--Achat d'une maison;Seul(e);1360.0;5.0;2082.82;34.7;100000.0;5000.0;pre-qualified;0;0;CDI;Technicien;Transport;45.0;Mme;3.0;Marie;Nord-Pas-de-Calais-Picardie
39;20/05/2018 09:13;--Achat d'un appartement;Avec votre conjoint;594.0;24.19;2035.33;33.23;310000.0;75000.0;Mandate;1;0;CDI;Commercial;Autre;35.0;M;3.0;Marie;Auvergne-Rh̫ne-Alpes
1346;07/01/2019 15:11;--Achat d'un appartement;Seul(e);1615.0;8.0;3000.0;46.2;250000.0;20000.0;pre-qualified;0;0;CDI;Cadre superieur;Informatique;33.0;Mlle;0.0;Celibataire;Ile-de-France
6740;21/11/2018 17:07;--Achat d'une maison;Seul(e);2175.0;24.19;3332.9;34.74;248000.0;60000.0;pre-qualified;1;0;CDI;Chercher / enseignement superieur;Enseignement/Recherche;48.0;M;3.0;Marie;Ile-de-France
5679;14/05/2018 01:48;--Achat d'une maison;Avec votre conjoint;6404.0;15.0;8457.72;24.28;400000.0;60000.0;eligible;1;0;CDI;Cadre superieur;Services aux entreprises;33.0;M;0.0;Marie;Ile-de-France
6648;05/02/2019 22:51;--Achat d'une maison;Avec votre conjoint;2859.0;26.39;4841.39;43.84;360000.0;95000.0;Exclus;0;0;CDI;Employe;B̢timent;31.0;Mme;2.0;Marie;
6077;19/03/2018 06:38;--Achat d'une maison;Avec votre conjoint;1523.0;25.0;2674.36;43.04;200000.0;50000.0;pre-qualified;0;0;;Ch̫meur / Sans activite;;30.0;M;2.0;Marie;Ile-de-France
7344;22/05/2018 15:47;--Achat d'une maison;Avec votre conjoint;-174.0;84.03;0.77;17476.75;59500.0;50000.0;pre-qualified;0;0;interimaire;Ouvrier;Industrie;43.0;M;3.0;Marie;Nord-Pas-de-Calais-Picardie
1159;27/12/2018 16:29;--Achat d'une maison;Seul(e);517.0;19.23;1799.71;75.37;260000.0;50000.0;pre-qualified;0;0;;;;33.0;M;2.0;Marie;Ile-de-France
1897;20/01/2018 19:40;--Achat d'un appartement;Seul(e);955.0;7.14;1750.0;45.45;140000.0;10000.0;pre-qualified;0;0;;;;;Mme;;;Ile-de-France
4195;23/04/2018 22:41;--Achat d'une maison;Avec votre conjoint;1240.0;18.75;1749.97;29.14;80000.0;15000.0;cancelled;1;0;CDI;Technicien;Industrie;41.0;M;3.0;Marie;Pays de la Loire
2428;25/08/2018 10:35;--Achat d'un appartement;Seul(e);990.0;33.0;2399.89;58.75;100000.0;33000.0;cancelled;1;0;CDI;Cadre moyen;Informatique;40.0;M;1.0;Marie;Ile-de-France
3252;03/04/2018 13:11;--Achat d'un appartement;Seul(e);2316.0;27.64;3499.22;33.81;253300.0;70000.0;eligible;1;0;;Gerant de societe;Marketing / Communication;38.0;M;3.0;Celibataire;Ile-de-France
1382;09/05/2018 15:16;--Achat d'une maison;Avec votre conjoint;2851.0;5.71;5299.79;52.48;350000.0;20000.0;cancelled;1;0;CDI;Technicien;Administration;42.0;M;2.0;Marie;Ile-de-France
3937;27/02/2018 10:57;--Achat d'une maison;Seul(e);2153.0;20.0;3349.73;35.72;200000.0;40000.0;pre-qualified;0;0;CDI;Cadre superieur;Informatique;32.0;M;0.0;Marie;Nord-Pas-de-Calais-Picardie
4309;10/02/2019 19:49;--Achat d'un appartement;Seul(e);2361.0;16.67;3500.0;32.56;180000.0;30000.0;pre-qualified;0;0;;;;;M;;;Nord-Pas-de-Calais-Picardie
3702;10/04/2019 14:02;;Seul(e);;0.0;0.0;;;;pre-qualified;1;0;;;;36.0;M;2.0;Marie;Ile-de-France
4958;21/01/2019 20:53;--Achat d'une maison;Avec votre conjoint;3367.0;57.5;4499.87;25.17;400000.0;230000.0;eligible;1;0;CDI;Employe;Administration;37.0;Mme;2.0;Marie;Ile-de-France
5531;14/05/2018 09:27;--Achat d'une maison;Avec votre conjoint;949.0;18.0;2499.26;62.01;250000.0;45000.0;pre-qualified;0;0;CDD;Technicien;Gestion / Comptabilite;32.0;Mme;1.0;Celibataire;Ile-de-France
2338;27/05/2018 18:05;--Achat d'un appartement;Seul(e);2291.0;0.0;3200.0;28.41;150000.0;0.0;pre-qualified;0;0;;;;;Mme;;;Languedoc-Roussillon-Midi-Pyrenees
6113;13/12/2018 10:14;--Achat d'une maison;Avec votre conjoint;2796.0;20.0;3606.21;22.46;131500.0;26300.0;eligible;1;0;CDI;Ouvrier;Industrie;42.0;M;3.0;Marie;Languedoc-Roussillon-Midi-Pyrenees
588;10/07/2019 10:18;--Achat d'un immeuble;Dans le cadre d'une SCI;14304.0;15.0;19336.74;26.3;1000000.0;150000.0;Instruit;1;1;CDI;Cadre superieur;Commerce;49.0;Mme;0.0;Marie;La Reunion
1704;16/04/2018 15:17;--Achat d'un appartement;Seul(e);2513.0;10.0;3534.01;44.87;150000.0;15000.0;Exclus;0;0;CDI;Commercial;Informatique;28.0;M;1.0;Marie;Ile-de-France
3971;13/01/2019 12:33;--Achat d'un appartement;Seul(e);1197.0;7.14;6000.0;80.07;700000.0;50000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
4202;05/05/2018 17:17;--Achat d'une maison;Avec votre conjoint;-841.0;15.38;0.74;84173.74;130000.0;20000.0;pre-qualified;0;0;Non salarie;Enseignant;Enseignement/Recherche;50.0;Mme;2.0;Marie;Alsace-Champagne-Ardenne-Lorraine
837;26/02/2019 22:16;--Achat d'une maison;Avec votre conjoint;1517.0;32.0;2832.27;46.43;250000.0;80000.0;eligible;1;0;CDI;Technicien;Industrie;40.0;M;2.0;Marie;Alsace-Champagne-Ardenne-Lorraine
2624;21/06/2019 13:41;--Achat d'une maison;Avec votre conjoint;4846.0;25.0;7082.33;31.57;400000.0;100000.0;eligible;1;0;CDI;Employe;Informatique;43.0;M;3.0;Marie;Alsace-Champagne-Ardenne-Lorraine
4939;01/04/2018 19:13;--Achat d'un appartement;Seul(e);936.0;19.53;2200.0;57.48;256000.0;50000.0;pre-qualified;0;0;;;;;Mme;;;
1442;23/05/2019 00:54;--Achat d'une maison;Avec votre concubin;3178.0;13.33;4165.44;23.7;150000.0;20000.0;pre-qualified;0;0;CDI;Cadre moyen;Gestion / Comptabilite;29.0;M;0.0;Union libre;Ile-de-France
826;20/12/2018 07:02;--Achat d'un appartement;Seul(e);2959.0;4.17;5700.0;48.1;480000.0;20000.0;pre-qualified;0;0;;;;;Mme;;;
1418;04/08/2018 14:44;--Achat d'un appartement;Seul(e);1015.0;33.33;1800.0;43.66;150000.0;50000.0;pre-qualified;0;0;;;;;M;;;Languedoc-Roussillon-Midi-Pyrenees
3862;09/03/2018 17:36;--Achat d'un appartement;Seul(e);1513.0;27.78;2500.0;39.5;180000.0;50000.0;pre-qualified;0;0;;;;;Mme;;;Ile-de-France
5837;13/11/2018 19:10;--Achat d'un appartement;Seul(e);1610.0;11.54;3000.0;46.36;260000.0;30000.0;pre-qualified;0;0;CDI;Ouvrier;B̢timent;23.0;Mme;0.0;Marie;
4242;10/02/2018 21:19;--Achat d'une maison;Avec votre conjoint;-466.0;86.21;0.01;46601.26;290000.0;250000.0;cancelled;1;0;Interimaire;Ouvrier;Industrie;36.0;M;0.0;Marie;Auvergne-Rh̫ne-Alpes
6628;18/08/2018 13:43;--Achat d'un appartement;Seul(e);120.0;6.67;1800.0;93.37;300000.0;20000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
7439;19/08/2019 10:59;;Seul(e);;0.0;0.0;;;;pre-qualified;0;0;;;;;M;;;Ile-de-France
7147;29/03/2019 18:07;--Achat d'un appartement;Seul(e);1689.0;0.56;3023.64;44.13;180000.0;1000.0;pre-qualified;0;0;CDI;Employe;Sante;25.0;Mlle;1.0;Union libre;Ile-de-France
4507;02/09/2018 17:07;--Achat d'un appartement;Avec votre conjoint;3177.0;26.67;4532.89;29.91;300000.0;80000.0;eligible;1;0;CDI;Ouvrier;B̢timent;44.0;M;4.0;Marie;Provence-Alpes-C̫te d'Azur
1789;08/05/2018 21:47;--Achat d'un appartement;Seul(e);979.0;14.29;1500.0;34.77;70000.0;10000.0;pre-qualified;0;0;;;;;Mme;;;
6302;05/05/2019 13:01;;Seul(e);;0.0;0.0;;;;pre-qualified;0;0;;;;33.0;Mme;3.0;Marie;Ile-de-France
3252;03/04/2018 13:11;--Achat d'un appartement;Seul(e);2316.0;27.64;3499.22;33.81;253300.0;70000.0;eligible;1;0;;Gerant de societe;Marketing / Communication;38.0;M;3.0;Celibataire;Ile-de-France
7750;04/06/2018 08:49;--Achat d'une maison;Avec votre concubin;1236.0;11.86;1877.54;34.16;84300.0;10000.0;pre-qualified;0;0;CDI;Employe;Fonction Publique;52.0;M;3.0;Union libre;Nord-Pas-de-Calais-Picardie
1389;01/06/2018 03:09;--Achat d'un appartement;Avec votre conjoint;312.0;14.28;2249.64;86.12;301200.0;43000.0;pre-qualified;0;0;CDI;Employe;Informatique;30.0;Mme;0.0;Marie;Ile-de-France
371;19/03/2018 13:39;--Achat d'un appartement;Avec votre conjoint;7904.0;22.56;8700.13;26.32;133000.0;30000.0;cancelled;1;1;CDI;Cadre moyen;Banque / Finance / Assurance;41.0;M;1.0;Marie;
3226;20/08/2019 17:14;--Achat d'un appartement;Avec votre conjoint;1969.0;25.0;2332.55;15.58;60000.0;15000.0;pre-qualified;1;0;;;;48.0;M;1.0;Marie;Provence-Alpes-C̫te d'Azur
2768;28/03/2018 20:45;--Achat d'un immeuble;Avec votre conjoint;9876.0;31.11;12207.38;19.1;450000.0;140000.0;cancelled;1;0;CDI;Cadre moyen;Informatique;47.0;M;2.0;Marie;Auvergne-Rh̫ne-Alpes
390;11/03/2018 12:25;--Achat d'un appartement;Avec votre conjoint;4687.0;56.2;6421.19;27.0;347000.0;195000.0;validated;1;1;CDI;Cadre moyen;Informatique;38.0;M;1.0;Marie;Provence-Alpes-C̫te d'Azur
255;02/11/2018 00:05;--Achat d'une maison;Avec votre conjoint;4228.0;47.75;6222.4;32.05;178000.0;85000.0;validated;1;1;Autre;Profession liberale;Sante;35.0;Mme;3.0;Marie;Alsace-Champagne-Ardenne-Lorraine
3316;23/07/2019 19:46;--Achat d'une maison;Avec votre conjoint;2415.0;18.0;3665.73;34.12;250000.0;45000.0;eligible;1;0;CDI;Employe;Marketing / Communication;29.0;M;1.0;Marie;Ile-de-France
4455;04/04/2019 09:08;--Achat d'un appartement;Seul(e);3075.0;15.0;3603.99;23.98;100000.0;15000.0;eligible;1;0;CDI;Cadre superieur;Environnement;25.0;M;0.0;Celibataire;Ile-de-France
4043;12/04/2018 16:01;--Achat d'une maison;Seul(e);-519.0;22.35;0.0;51900.14;85000.0;19000.0;pre-qualified;0;0;;Artisan;B̢timent;40.0;M;0.0;Celibataire;Aquitaine-Limousin-Poitou-Charentes
950;03/08/2019 19:25;--Achat d'un appartement;Seul(e);3233.0;1.33;3800.0;14.93;75000.0;1000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
6087;30/08/2018 20:33;--Achat d'une maison;Avec votre conjoint;2396.0;39.13;3498.43;31.51;230000.0;90000.0;cancelled;1;0;CDI;Employe;Autre;45.0;M;4.0;Marie;Ile-de-France
1153;27/03/2018 09:46;--Achat d'un appartement;Avec votre conjoint;1958.0;15.38;2799.74;30.06;130000.0;20000.0;pre-qualified;0;0;CDI;Employe;Fonction Publique;26.0;Mme;1.0;Marie;Ile-de-France
555;04/03/2019 16:31;--Achat d'un appartement;Seul(e);19645.0;0.63;20000.0;1.78;40000.0;250.0;Exclus;0;0;CDI;Employe;Industrie;41.0;M;3.0;Marie;Languedoc-Roussillon-Midi-Pyrenees
3258;16/07/2019 11:48;--Achat d'un appartement;Seul(e);841.0;17.24;2300.0;63.44;290000.0;50000.0;pre-qualified;0;0;CDI;Technicien;Sante;54.0;M;2.0;Marie;Provence-Alpes-C̫te d'Azur
1381;18/11/2018 15:55;--Achat d'une maison;Avec votre conjoint;2407.0;30.56;3379.08;38.51;180000.0;55000.0;pre-qualified;0;0;CDI;Employe;Sante;32.0;M;1.0;Marie;Ile-de-France
695;14/03/2018 21:51;--Achat d'une maison;Avec votre conjoint;2764.0;53.85;3749.64;26.28;260000.0;140000.0;pre-qualified;1;0;CDI;Cadre moyen;Industrie;35.0;M;2.0;Marie;Ile-de-France
6681;08/04/2018 20:43;--Achat d'une maison;Avec votre conjoint;-862.0;10.71;1008.61;185.58;280000.0;30000.0;pre-qualified;0;0;CDI;Cadre moyen;Transport;38.0;M;0.0;Marie;Ile-de-France
6578;18/08/2018 16:06;--Achat d'un appartement;Seul(e);3027.0;11.11;4000.0;24.34;180000.0;20000.0;pre-qualified;0;0;CDI;Cadre moyen;Commerce;38.0;M;3.0;Marie;Provence-Alpes-C̫te d'Azur
2004;09/11/2018 08:52;--Achat d'un appartement;Seul(e);2345.0;15.0;3000.0;21.85;100000.0;15000.0;pre-qualified;0;0;;;;;Mme;;;Auvergne-Rh̫ne-Alpes
1329;15/03/2019 22:00;--Achat d'un appartement;Seul(e);1751.0;47.06;3000.0;41.64;170000.0;80000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
4626;13/06/2019 19:17;--Achat d'un appartement;Seul(e);1158.0;37.02;1790.16;35.3;104000.0;38500.0;pre-qualified;0;0;;;;25.0;M;0.0;Celibataire;Alsace-Champagne-Ardenne-Lorraine
3537;04/08/2019 19:44;--Achat d'une maison;Seul(e);2155.0;13.04;2915.0;26.06;115000.0;15000.0;pre-qualified;0;0;;;;29.0;M;0.0;Celibataire;Auvergne-Rh̫ne-Alpes
1537;01/06/2019 11:55;--Achat d'un appartement;Seul(e);2631.0;1.67;3000.0;12.3;60000.0;1000.0;pre-qualified;0;0;;;;;M;;;Provence-Alpes-C̫te d'Azur
6195;01/03/2019 15:04;--Achat d'un appartement;Seul(e);1777.0;20.0;3000.0;40.78;250000.0;50000.0;pre-qualified;0;0;;;;;Mme;;;Ile-de-France
5036;27/04/2019 12:35;--Achat d'un appartement;Seul(e);1963.0;15.0;3000.0;34.57;200000.0;30000.0;pre-qualified;0;0;CDI;Employe;Services �� la personne;28.0;Mme;0.0;Marie;Languedoc-Roussillon-Midi-Pyrenees
7913;10/12/2018 00:33;--Achat d'un appartement;Seul(e);1395.0;50.0;3000.0;53.5;400000.0;200000.0;Exclus;0;0;;Profession liberale;Industrie;44.0;M;0.0;Marie;
5424;15/07/2019 02:16;--Achat d'un appartement;Seul(e);2188.0;14.29;4000.0;45.32;350000.0;50000.0;pre-qualified;0;0;;;;;Mlle;;;Ile-de-France
7224;16/08/2019 11:29;--Achat d'une maison;Avec votre conjoint;-1218.0;20.0;0.5;121849.7;200000.0;40000.0;pre-qualified;0;0;CDI;Employe;Enseignement/Recherche;54.0;M;3.0;Marie;Languedoc-Roussillon-Midi-Pyrenees
2011;20/03/2019 20:22;--Achat d'un appartement;Seul(e);1350.0;12.0;3000.0;55.02;250000.0;30000.0;pre-qualified;0;0;;;;;Mme;;;Ile-de-France
6065;04/11/2018 15:04;--Achat d'une maison;Avec votre conjoint;-166.0;20.0;1518.17;111.08;275000.0;55000.0;pre-qualified;0;0;;Gerant de societe;Informatique;38.0;M;2.0;Marie;Auvergne-Rh̫ne-Alpes
342;23/07/2019 14:48;--Achat d'une maison;Avec votre conjoint;3341.0;47.17;4237.75;21.28;212000.0;100000.0;eligible;1;0;CDI;Cadre superieur;Administration;49.0;M;3.0;Marie;Ile-de-France
6659;27/06/2018 23:15;--Achat d'un appartement;Seul(e);3200.0;12.0;4500.0;28.91;250000.0;30000.0;pre-qualified;0;0;CDI;Commercial;Banque / Finance / Assurance;35.0;Mme;2.0;Marie;Ile-de-France
7235;29/04/2018 22:22;--Achat d'un appartement;Seul(e);1378.0;5.0;1999.11;44.84;60000.0;3000.0;cancelled;1;0;CDI;Cadre superieur;Informatique;30.0;M;0.0;Celibataire;Ile-de-France
4235;22/01/2019 20:30;--Achat d'un appartement;Seul(e);-4050.0;2.0;1000.0;505.06;500000.0;10000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
2709;10/02/2019 22:19;--Achat d'une maison;Avec votre conjoint;2510.0;11.76;3643.86;33.49;170000.0;20000.0;pre-qualified;0;0;CDI;Employe;Transport;35.0;Mme;3.0;Marie;Centre-Val de Loire
2521;16/07/2019 15:12;--Achat d'un appartement;Seul(e);3463.0;15.0;4500.0;23.05;200000.0;30000.0;pre-qualified;0;0;;;;;Mme;;;Nord-Pas-de-Calais-Picardie
3687;12/04/2019 19:52;--Achat d'une maison;Avec votre conjoint;-1343.0;45.45;2.49;67274.44;220000.0;100000.0;pre-qualified;0;0;CDI;Technicien;Industrie;42.0;M;4.0;Marie;Ile-de-France
1513;08/12/2018 14:23;--Achat d'un appartement;Seul(e);709.0;30.0;999.34;29.03;50000.0;15000.0;eligible;1;0;CDI;Employe;Restauration;23.0;M;0.0;Celibataire;Auvergne-Rh̫ne-Alpes
5474;08/08/2019 14:56;--Achat d'une maison;Avec votre conjoint;2762.0;15.0;3799.23;27.3;200000.0;30000.0;eligible;1;0;CDI;Commercial;Commerce;41.0;M;2.0;Marie;Auvergne-Rh̫ne-Alpes
4099;29/07/2019 15:49;--Achat d'un appartement;Seul(e);690.0;0.0;1300.0;46.93;100000.0;0.0;pre-qualified;0;0;;;;;M;;;Auvergne-Rh̫ne-Alpes
6027;26/01/2018 23:08;--Achat d'un appartement;Seul(e);2279.0;12.95;2500.0;8.86;38600.0;5000.0;pre-qualified;0;0;CDI;Technicien;Services aux entreprises;44.0;M;4.0;Marie;Auvergne-Rh̫ne-Alpes
3331;16/05/2019 14:50;;Seul(e);;0.0;0.0;;;;pre-qualified;0;0;;;;29.0;Mme;2.0;Marie;
4851;07/04/2019 21:14;--Achat d'un appartement;Seul(e);1687.0;17.05;2582.94;34.69;176000.0;30000.0;eligible;1;0;CDI;Cadre moyen;Gestion / Comptabilite;33.0;M;0.0;Celibataire;Ile-de-France
3064;02/08/2018 13:13;--Achat d'un appartement;Seul(e);-1151.0;25.0;0.36;115135.68;200000.0;50000.0;pre-qualified;0;0;;Commer̤ant;Commerce;109.0;M;0.0;Celibataire;Provence-Alpes-C̫te d'Azur
1246;03/02/2018 22:26;--Achat d'une maison;Avec votre conjoint;3303.0;60.0;3492.59;5.43;50000.0;30000.0;Exclus;0;0;CDI;Employe;Industrie;34.0;M;3.0;Union libre;Nord-Pas-de-Calais-Picardie
262;22/03/2018 23:19;--Achat d'un appartement;Avec votre conjoint;1640.0;55.65;2499.71;34.39;233600.0;130000.0;Mandate;1;0;CDI;Commercial;Securite;46.0;M;2.0;Marie;Ile-de-France
6409;31/03/2019 12:37;--Achat d'un appartement;Avec votre conjoint;4183.0;10.1;4908.31;23.22;99000.0;10000.0;pre-qualified;1;0;non salarie;Profession liberale;Informatique;40.0;M;3.0;Marie;Ile-de-France
1111;21/08/2019 12:14;;Seul(e);;0.0;0.0;;;;pre-qualified;0;0;;;;27.0;M;1.0;Marie;Alsace-Champagne-Ardenne-Lorraine
1038;09/03/2019 19:55;--Achat d'un appartement;Seul(e);1623.0;3.33;2500.0;35.11;150000.0;5000.0;pre-qualified;0;0;;;;;M;;;Centre-Val de Loire
6118;24/04/2019 15:47;--Achat d'un appartement;Avec une autre personne;2948.0;17.86;3999.65;26.29;168000.0;30000.0;eligible;1;0;CDI;Employe;Fonction Publique;56.0;Mme;0.0;Divorce;Alsace-Champagne-Ardenne-Lorraine
6611;22/02/2018 15:00;--Achat d'un appartement;Seul(e);-718.0;40.0;0.88;71888.05;150000.0;60000.0;pre-qualified;0;0;CDI;Technicien;Sante;43.0;M;0.0;Celibataire;Ile-de-France
2937;19/01/2018 14:08;--Achat d'une maison;Seul(e);1543.0;23.53;2349.45;34.32;170000.0;40000.0;eligible;1;0;CDI;Employe;Gestion / Comptabilite;29.0;Mlle;0.0;Celibataire;Languedoc-Roussillon-Midi-Pyrenees
1222;06/06/2019 19:39;;Seul(e);;0.0;0.0;;;;pre-qualified;0;0;;;;34.0;M;3.0;Union libre;Ile-de-France
